objid,ra,dec,u,g,r,i,z,run,rerun,camcol,field,specobjid,class,redshift,plate,mjd,fiberid,SpType,BV,TEff,FeH
1237655348351730428,230.088750799723,53.5302460007544,25.89612,22.78891,20.71988,19.58575,19.16193,2299,301,3,222,7559433644827498496,GALAXY,0.5677592,6714,56447,515,,0,0,0
1237655348351795637,230.150416502954,53.334603595561,22.5074,22.30737,20.68399,19.62643,19.27208,2299,301,3,223,7559434194583312384,GALAXY,0.554449,6714,56447,517,,0,0,0
1237655348351861356,230.580282689097,53.3069559278039,25.40687,22.20122,20.70762,19.77221,19.06285,2299,301,3,224,7559440241897265152,GALAXY,0.5650151,6714,56447,539,,0,0,0
1237655348888535525,230.462073165361,53.9578906969029,22.89358,20.7836,19.103,18.48347,18.05243,2299,301,4,221,7559444365065869312,GALAXY,0.335591,6714,56447,554,,0,0,0
1237655348888601055,230.432303697918,53.7420185641663,25.83605,21.92424,20.42663,19.60208,18.99489,2299,301,4,222,7559433095071684608,GALAXY,0.4782345,6714,56447,513,,0,0,0
1237655348888601167,230.557745160905,53.7620595565782,25.23829,21.53104,19.88398,19.04191,18.78021,2299,301,4,222,7559438042874009600,GALAXY,0.4898999,6714,56447,531,,0,0,0
1237655348888666536,230.694592784049,53.7707696317957,24.5639,21.7199,20.3353,19.47857,18.93363,2299,301,4,223,7559437493118195712,GALAXY,0.4860294,6714,56447,529,,0,0,0
1237655348888666547,230.61620306022,53.7125724088326,25.57905,21.44007,19.64112,18.79038,18.21699,2299,301,4,223,7559437218240288768,GALAXY,0.4786998,6714,56447,528,,0,0,0
1237655348888863357,231.378983026226,53.4290064121325,25.20398,22.41386,20.63046,19.56915,19.03121,2299,301,4,226,7559448488234473472,GALAXY,0.57961,6714,56447,569,,0,0,0
1237655348888863380,231.374708634557,53.4081957711539,22.71622,22.59844,20.46185,19.28341,18.84139,2299,301,4,226,7559449037990287360,GALAXY,0.5770539,6714,56447,571,,0,0,0
1237655348888928666,231.376790384693,53.3094294262778,23.61195,22.09722,20.43252,19.41039,19.02157,2299,301,4,227,7559449862624008192,GALAXY,0.5329449,6714,56447,574,,0,0,0
1237657628439085268,134.12587164522,38.4716667556476,18.99801,17.83857,17.39572,17.05528,16.93497,2830,301,2,170,1348852872187504640,GALAXY,0.07356932,1198,52669,90,,0,0,0
1237657628439085288,134.121141141052,38.5054350428394,25.07296,19.74575,18.42612,17.97641,17.64146,2830,301,2,170,1348854796332853248,GALAXY,0.2146334,1198,52669,97,,0,0,0
1237657628439150847,134.237407241979,38.6532004715832,19.90709,18.46065,17.68055,17.25002,16.97586,2830,301,2,171,1348855071210760192,GALAXY,0.1331968,1198,52669,98,,0,0,0
1237657628439216142,134.251800459125,38.7033999947775,19.28251,18.20929,17.75978,17.35242,17.47542,2830,301,2,172,1348850398286342144,GALAXY,0.09482439,1198,52669,81,,0,0,0
1237657628439282120,134.540016257987,38.8423762177266,25.68932,20.77536,19.00404,18.29567,17.84848,2830,301,2,173,1348856170722387968,GALAXY,0.4050001,1198,52669,102,,0,0,0
1237657628439347343,134.693510876245,38.8177906685104,18.48858,16.67392,15.90995,15.54292,15.27686,2830,301,2,174,1348855895844481024,GALAXY,0.02948126,1198,52669,101,,0,0,0
1237657628439347518,134.649756239204,38.8527076031207,19.82705,17.68362,16.6003,16.14734,15.7872,2830,301,2,174,1348856445600294912,GALAXY,0.1311563,1198,52669,103,,0,0,0
1237657628439412747,134.733417135212,38.9199857092009,19.00042,17.14396,16.32617,15.93813,15.99733,2830,301,2,175,1348857819989829632,GALAXY,0.02873101,1198,52669,108,,0,0,0
1237657628439412947,134.738555886646,38.9762194290525,18.58932,17.346,16.80552,16.51105,16.3015,2830,301,2,175,1348858644623550464,GALAXY,0.04201241,1198,52669,111,,0,0,0
1237657628439478480,135.008801542064,38.9911193982906,18.70314,17.48969,17.03464,16.74637,16.56853,2830,301,2,176,1348845725361924096,GALAXY,0.0596854,1198,52669,64,,0,0,0
1237657628439544032,135.051552901105,39.0697929292972,20.71689,19.00002,17.68849,17.15116,16.78456,2830,301,2,177,1348846824873551872,GALAXY,0.2699059,1198,52669,68,,0,0,0
1237657628976021737,133.9530220519,38.8020156424673,19.35061,18.00489,17.46975,17.17547,17.02135,2830,301,3,171,1348850673164249088,GALAXY,0.08662952,1198,52669,82,,0,0,0
1237657628976283811,134.535416003813,39.1650356429776,18.92549,17.58862,16.94108,16.59474,16.37957,2830,301,3,175,1348860019013085184,GALAXY,0.0871681,1198,52669,116,,0,0,0
1237657628976349238,134.686725693973,39.3069938859587,20.4778,18.39058,17.41408,16.975,16.60075,2830,301,3,176,1348860843646806016,GALAXY,0.09400447,1198,52669,119,,0,0,0
1237657628976349240,134.667201780231,39.2823205377865,20.41524,18.22767,17.28413,16.87887,16.51521,2830,301,3,176,1348860293890992128,GALAXY,0.09505932,1198,52669,117,,0,0,0
1237657628976349447,134.734312962915,39.2804416489133,20.01688,18.72522,18.09306,17.73532,17.5587,2830,301,3,176,1348860568768899072,GALAXY,0.1214983,1198,52669,118,,0,0,0
1237657628976349539,134.724445246871,39.3064178302055,21.92369,19.90667,18.34468,17.75324,17.417,2830,301,3,176,1348861118524712960,GALAXY,0.2810395,1198,52669,120,,0,0,0
1237657773931495693,133.961888307502,38.1305602765214,17.88892,15.95585,15.07922,14.62756,14.29503,2864,301,1,176,1348854246577039360,GALAXY,0.08633441,1198,52669,95,,0,0,0
1237657773931561099,134.034973963261,38.1297692711333,18.25772,16.63915,15.72414,15.25339,14.91215,2864,301,1,177,1348852597309597696,GALAXY,0.1222983,1198,52669,89,,0,0,0
1237657773931626622,134.211292700394,38.2849885583851,18.79559,17.46562,16.90883,16.5305,16.33247,2864,301,1,178,1348855346088667136,GALAXY,0.05959679,1198,52669,99,,0,0,0
1237657773931626857,134.291497653908,38.3164746363752,19.00164,17.86616,17.42336,17.14106,17.00112,2864,301,1,178,1348853971699132416,GALAXY,0.06004846,1198,52669,94,,0,0,0
1237657774468628711,134.20814219998,38.7354707397246,19.05458,17.80561,17.13549,16.74574,16.51873,2864,301,2,180,1348850948042156032,GALAXY,0.08744568,1198,52669,83,,0,0,0
1237657774468759654,134.546227955967,38.9473975262352,19.84612,17.7884,16.85755,16.44298,16.13498,2864,301,2,182,1348857545111922688,GALAXY,0.09544641,1198,52669,107,,0,0,0
1237657774468759849,134.524316184018,38.9052858021421,20.49891,18.65976,17.73939,17.28945,16.93491,2864,301,2,182,1348856995356108800,GALAXY,0.09513348,1198,52669,105,,0,0,0
